date,state,location,city_or_county,cases_total,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_hnpi,cases_multiracial,cases_other,cases_unknown,cases_ethnicity_hispanic,cases_ethnicity_nonhispanic,cases_ethnicity_unknown,deaths_total,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_hnpi,deaths_multiracial,deaths_other,deaths_unknown,deaths_ethnicity_hispanic,deaths_ethnicity_nonhispanic,deaths_ethnicity_unknown,case_fatality_rate,daily_new_cases,daily_percentincr_cases,weekly_new_cases,weekly_percentincr_cases,daily_new_deaths,daily_percentincr_deaths,weekly_new_deaths,weekly_percentincr_deaths
7/1/2020,CA,Alameda County,County,6384,653,483,3379,771,18,35,69,,735,3379,2029,735,138,32,28,39,27,,,,,2,39,87,2,2.16,135,2.16,958,17.66,2,1.47,2,1.47
7/2/2020,CA,Alameda County,County,6472,667,488,3422,779,18,35,69,,746,3422,2056,746,140,34,29,41,28,,,,,8,41,91,8,2.16,88,1.38,918,16.53,2,1.45,4,2.94
7/4/2020,CA,Alameda County,County,6855,708,516,3546,803,18,38,73,,851,3546,2156,851,140,34,29,41,28,,,,,8,41,91,8,2.04,99,1.47,1075,18.6,,,4,2.94
7/5/2020,CA,Alameda County,County,6887,711,517,3555,805,19,38,76,,867,3555,2166,867,140,34,29,41,28,,,,,8,41,91,8,2.03,32,0.47,911,15.24,0,0,4,2.94
7/10/2020,CA,Alameda County,County,7725,816,571,3908,863,22,42,87,,1068,3908,2401,1068,148,36,31,42,30,,,,,9,42,97,9,1.92,,,969,14.34,,,,
7/17/2020,CA,Alameda County,County,9110,959,653,4652,960,23,52,102,,1254,4652,2749,1254,162,38,35,47,34,,,,,8,47,107,8,1.78,,,1385,17.93,,,14,9.46
6/3/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,55206,6342,2177,18873,3142,54,304,,6571,17743,18873,18590,17743,2314,652,273,935,398,2,18,,23,13,935,1366,13,4.19,131,0.24,,,6,0.26,,
6/4/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,56589,6523,2217,19592,3248,57,293,,6724,17935,19592,19062,17935,2356,658,278,956,419,2,4,,24,15,956,1385,15,4.16,1383,2.51,,,42,1.82,,
6/5/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,57917,6567,2233,19946,3265,57,290,,6875,18684,19946,19287,18684,2389,670,279,970,423,2,5,,24,16,970,1403,16,4.12,1328,2.35,5127,9.71,33,1.4,159,7.13
6/6/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,59181,6661,2258,20824,3317,58,288,,7102,18673,20824,19684,18673,2442,683,286,998,431,2,6,,27,9,998,1435,9,4.13,1264,2.18,5315,9.87,53,2.22,187,8.29
6/7/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,60636,6699,2264,21212,3329,59,289,,7366,19418,21212,20006,19418,2463,690,289,1005,435,2,6,,26,10,1005,1448,10,4.06,1455,2.46,6139,11.26,21,0.86,188,8.26
6/8/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,61430,6728,2275,21916,3339,59,292,,7689,19132,21916,20382,19132,2472,692,289,1012,436,2,6,,26,9,1012,1451,9,4.02,794,1.31,6933,12.72,9,0.37,179,7.81
6/9/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,62553,6793,2292,22544,3355,59,294,,7918,19298,22544,20711,19298,2523,712,296,1026,440,2,6,,30,11,1026,1486,11,4.03,1123,1.83,7478,13.58,51,2.06,215,9.32
6/10/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,63660,6861,2323,22872,3376,60,296,,8266,19606,22872,21182,19606,2581,728,299,1060,445,2,6,,29,12,1060,1509,12,4.05,1107,1.77,8454,15.31,58,2.3,267,11.54
6/11/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,65424,6936,2345,23715,3399,60,298,,8363,20308,23715,21401,20308,2626,749,303,1078,449,2,7,,29,9,1078,1539,9,4.01,1764,2.77,8835,15.61,45,1.74,270,11.46
6/12/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,66941,6991,2368,24226,3430,61,303,,8734,20828,24226,21887,20828,2640,750,302,1088,452,2,9,,26,11,1088,1541,11,3.94,1517,2.32,9024,15.58,14,0.53,251,10.51
6/13/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,68430,7067,2394,24567,3449,63,306,,9023,21561,24567,22302,21561,2696,769,306,1113,458,3,9,,30,8,1113,1575,8,3.94,1489,2.22,9249,15.63,56,2.12,254,10.4
6/14/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,69382,7116,2399,24681,3453,62,311,,9355,22005,24681,22696,22005,2709,774,307,1116,460,3,9,,31,9,1116,1584,9,3.9,952,1.39,8746,14.42,13,0.48,246,9.99
6/15/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,70150,7134,2416,25277,3471,62,313,,9699,21778,25277,23095,21778,2728,779,309,1128,461,3,9,,31,8,1128,1592,8,3.89,768,1.11,8720,14.2,19,0.7,256,10.36
6/16/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,71402,7193,2442,26039,3494,62,316,,9906,21950,26039,23413,21950,2761,783,311,1144,464,3,9,,34,13,1144,1604,13,3.87,1252,1.78,8849,14.15,33,1.21,238,9.43
6/17/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,73419,7273,2467,26316,3512,64,316,,10347,23124,26316,23979,23124,2791,795,313,1158,469,3,9,,32,12,1158,1621,12,3.8,2017,2.82,9759,15.33,30,1.09,210,8.14
6/18/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,74361,7313,2478,26494,3523,62,314,,10626,23551,26494,24316,23551,2825,805,316,1169,471,3,9,,34,18,1169,1638,18,3.8,942,1.28,8937,13.66,34,1.22,199,7.58
6/19/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,75622,7368,2506,26721,3537,63,316,,11048,24063,26721,24838,24063,2861,818,319,1188,476,3,9,,31,17,1188,1656,17,3.78,1261,1.7,8681,12.97,36,1.27,221,8.37
6/20/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,77582,7440,2535,27017,3569,64,317,,11478,25162,27017,25403,25162,2905,831,321,1216,480,3,9,,32,13,1216,1676,13,3.74,1960,2.59,9152,13.37,44,1.54,209,7.75
6/21/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,79270,7491,2547,27148,3584,64,319,,11842,26275,27148,25847,26275,2913,832,321,1223,480,3,9,,32,13,1223,1677,13,3.67,1688,2.18,9888,14.25,8,0.28,204,7.53
6/22/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,81798,7581,2579,27354,3616,65,329,,12586,27688,27354,26756,27688,2929,835,324,1231,484,3,9,,32,11,1231,1687,11,3.58,2528,3.19,11648,16.6,16,0.55,201,7.37
6/23/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,84043,7679,2618,27671,3644,70,338,,13074,28949,27671,27423,28949,2963,831,329,1252,490,5,9,,35,12,1252,1699,12,3.53,2245,2.74,12641,17.7,34,1.16,202,7.32
6/24/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,85021,7762,2654,27990,3690,72,345,,13194,29314,27990,27717,29314,2996,836,337,1264,497,5,10,,33,14,1264,1718,14,3.52,978,1.16,11602,15.8,33,1.11,205,7.35
6/25/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,86855,7837,2677,28303,3696,73,349,,13479,30441,28303,28111,30441,3035,853,340,1285,498,5,10,,30,14,1285,1736,14,3.49,1834,2.16,12494,16.8,39,1.3,210,7.43
6/26/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,88510,7885,2703,28615,3721,76,351,,13869,31290,28615,28605,31290,3055,853,344,1295,502,6,10,,31,14,1295,1746,14,3.45,1655,1.91,12888,17.04,20,0.66,194,6.78
6/27/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,90490,7971,2744,28971,3750,79,353,,14384,32238,28971,29281,32238,3071,856,342,1305,508,6,10,,28,16,1305,1750,16,3.39,1980,2.24,12908,16.64,16,0.52,166,5.71
6/28/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,92999,8062,2791,29163,3794,82,356,,15375,33376,29163,30460,33376,3091,843,351,1326,517,9,9,,21,15,1326,1750,15,3.32,2509,2.77,13729,17.32,20,0.65,178,6.11
6/29/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,95853,8127,2818,29462,3807,82,359,,16825,34373,29462,32018,34373,3112,848,353,1335,520,9,9,,19,19,1335,1758,19,3.25,2854,3.07,14055,17.18,21,0.68,183,6.25
6/30/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,98424,8225,2856,29802,3834,81,359,,17090,36177,29802,32445,36177,3150,857,355,1355,522,9,9,,23,20,1355,1775,20,3.2,2571,2.68,14381,17.11,38,1.22,187,6.31
7/1/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,100059,8343,2904,30342,3861,82,367,,17296,36864,30342,32853,36864,3179,867,358,1370,523,9,9,,22,21,1370,1788,21,3.18,1635,1.66,15038,17.69,29,0.92,183,6.11
7/2/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,102061,8477,2946,30758,3903,84,370,,17447,38076,30758,33227,38076,3228,875,365,1394,529,9,10,,27,19,1394,1815,19,3.16,2002,2,15206,17.51,49,1.54,193,6.36
7/5/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,109228,8869,3112,31668,3996,85,391,,18540,42567,31668,34993,42567,3258,880,366,1415,531,9,10,,29,18,1415,1825,18,2.98,,,16229,17.45,,,167,5.4
7/6/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,110790,8982,3170,31981,4029,87,402,,18847,43292,31981,35517,43292,3304,891,368,1443,533,9,10,,29,21,1443,1840,21,2.98,1562,1.43,14937,15.58,46,1.41,192,6.17
7/7/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,114659,9183,3232,32574,4089,91,413,,19192,45885,32574,36200,45885,3346,901,369,1471,537,9,11,,29,19,1471,1856,19,2.92,3869,3.49,16235,16.49,42,1.27,196,6.22
7/8/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,116899,9351,3310,33162,4132,96,422,,19393,47033,33162,36704,47033,3406,913,372,1516,544,9,11,,24,17,1516,1873,17,2.91,2240,1.95,16840,16.83,60,1.79,227,7.14
7/9/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,118381,9492,3358,33694,4158,99,428,,19512,47640,33694,37047,47640,3452,916,375,1551,544,9,12,,27,18,1551,1883,18,2.92,1482,1.27,16320,15.99,46,1.35,224,6.94
7/10/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,120733,9655,3407,34231,4192,101,430,,19612,49105,34231,37397,49105,3499,920,380,1589,547,9,13,,24,17,1589,1893,17,2.9,2352,1.99,,,47,1.36,,
7/11/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,123536,9892,3476,35218,4264,105,434,,20009,50138,35218,38180,50138,3548,928,386,1615,550,9,13,,28,19,1615,1914,19,2.87,2803,2.32,,,49,1.4,,
7/12/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,126691,10097,3554,36342,4328,112,453,,20700,51105,36342,39244,51105,3562,934,387,1622,550,9,14,,27,19,1622,1921,19,2.81,3155,2.55,17463,15.99,14,0.39,304,9.33
7/13/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,129224,10248,3620,37344,4380,111,460,,20964,52097,37344,39783,52097,3575,937,387,1627,551,9,14,,28,22,1627,1926,22,2.77,2533,2,18434,16.64,13,0.36,271,8.2
7/14/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,133147,10549,3737,38934,4474,115,472,,21440,53426,38934,40787,53426,3645,957,391,1662,558,9,14,,28,26,1662,1957,26,2.74,3923,3.04,18488,16.12,70,1.96,299,8.94
7/15/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,135580,10720,3818,40183,4538,120,478,,21448,54275,40183,41122,54275,3684,963,393,1685,563,9,15,,30,26,1685,1973,26,2.72,2433,1.83,18681,15.98,39,1.07,278,8.16
7/16/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,139841,10913,3900,41682,4605,123,481,,21722,56415,41682,41744,56415,3731,962,397,1719,569,9,16,,29,30,1719,1982,30,2.67,4261,3.14,21460,18.13,47,1.28,279,8.08
7/17/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,142447,11083,3983,43150,4661,127,489,,21791,57163,43150,42134,57163,3789,971,400,1758,577,9,17,,28,29,1758,2002,29,2.66,2606,1.86,21714,17.99,58,1.55,290,8.29
7/18/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,145064,11277,4094,44409,4758,134,500,,22132,57760,44409,42895,57760,3825,980,409,1782,578,9,17,,26,24,1782,2019,24,2.64,2617,1.84,21528,17.43,36,0.95,277,7.81
7/19/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,147772,11432,4162,45434,4831,139,505,,22584,58685,45434,43653,58685,3836,985,410,1787,578,9,17,,26,24,1787,2025,24,2.6,2708,1.87,21081,16.64,11,0.29,274,7.69
7/20/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,150900,11636,4250,47038,4922,140,514,,23116,59284,47038,44578,59284,3844,990,410,1790,578,9,17,,26,24,1790,2030,24,2.55,3128,2.12,21676,16.77,8,0.21,269,7.52
7/21/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,153424,11801,4308,47927,4970,142,519,,23214,60543,47927,44954,60543,3893,997,413,1820,582,10,17,,28,26,1820,2047,26,2.54,2524,1.67,20277,15.23,49,1.27,248,6.8
7/22/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,156269,12060,4391,49160,5050,150,530,,23333,61595,49160,45514,61595,3951,1008,419,1855,591,10,16,,28,24,1855,2072,24,2.53,2845,1.85,20689,15.26,58,1.49,267,7.25
7/23/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,157983,12205,4451,49937,5125,153,547,,23534,62031,49937,46015,62031,3998,1016,424,1882,600,10,16,,28,22,1882,2094,22,2.53,1714,1.1,18142,12.97,47,1.19,267,7.16
7/24/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,159710,12400,4514,50791,5187,153,552,,23708,62405,50791,46514,62405,4035,1017,429,1906,606,10,19,,27,21,1906,2108,21,2.53,1727,1.09,17263,12.12,37,0.93,246,6.49
7/25/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,163100,12691,4623,52836,5298,159,564,,23925,63004,52836,47260,63004,4086,1024,434,1938,609,11,19,,28,23,1938,2125,23,2.51,3390,2.12,18036,12.43,51,1.26,261,6.82
7/26/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,164641,12787,4687,53203,5337,161,573,,24274,63619,53203,47819,63619,4093,1025,438,1938,609,11,19,,29,24,1938,2131,24,2.49,1541,0.94,16869,11.42,7,0.17,257,6.7
7/27/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,166652,12885,4727,54353,5391,163,575,,24355,64203,54353,48096,64203,4108,1032,438,1942,612,12,19,,28,25,1942,2141,25,2.47,2011,1.22,15752,10.44,15,0.37,264,6.87
7/28/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,169158,12999,4774,54846,5433,162,581,,24507,65856,54846,48456,65856,4159,1038,441,1976,619,12,19,,28,26,1976,2157,26,2.46,2506,1.5,15734,10.26,51,1.24,266,6.83
7/29/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,173565,13304,4907,57703,5551,164,595,,24531,66810,57703,49052,66810,4243,1049,449,2035,632,12,19,,27,20,2035,2188,20,2.44,4407,2.61,17296,11.07,84,2.02,292,7.39
7/30/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,175981,13442,4974,59065,5623,165,594,,24458,67660,59065,49256,67660,4277,1060,452,2050,639,12,19,,28,17,2050,2210,17,2.43,2416,1.39,17998,11.39,34,0.8,279,6.98
7/31/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,178426,13578,5042,60342,5696,169,598,,24356,68645,60342,49439,68645,4339,1069,458,2087,649,12,19,,27,18,2087,2234,18,2.43,2445,1.39,18716,11.72,62,1.45,304,7.53
8/1/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,180578,13711,5115,61795,5751,170,600,,24208,69228,61795,49555,69228,4384,1077,465,2112,653,12,19,,27,19,2112,2253,19,2.43,2152,1.21,17478,10.72,45,1.04,298,7.29
8/2/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,181888,13776,5148,62367,5792,172,603,,24219,69811,62367,49710,69811,4407,1079,468,2125,657,12,20,,26,20,2125,2262,20,2.42,1310,0.73,17247,10.48,23,0.52,314,7.67
8/3/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,183499,13861,5183,63328,5825,173,606,,24272,70251,63328,49920,70251,4415,1080,469,2130,659,12,20,,27,18,2130,2267,18,2.41,1611,0.89,16847,10.11,8,0.18,307,7.47
8/4/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,185236,13990,5240,64316,5875,175,607,,24264,70769,64316,50151,70769,4471,1085,475,2168,666,12,18,,29,18,2168,2285,18,2.41,1737,0.95,16078,9.5,56,1.27,312,7.5
8/5/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,187527,14212,5325,65470,5960,176,609,,24514,71261,65470,50796,71261,4537,1100,479,2207,676,12,18,,28,17,2207,2313,17,2.42,2291,1.24,13962,8.04,66,1.48,294,6.93
8/6/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,190456,14387,5393,66703,6031,178,613,,24612,72539,66703,51214,72539,4578,1101,483,2237,686,12,16,,27,16,2237,2325,16,2.4,2929,1.56,14475,8.23,41,0.9,301,7.04
8/7/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,193423,14601,5476,67805,6105,179,620,,24807,73830,67805,51788,73830,4627,1113,483,2264,694,12,16,,28,17,2264,2346,17,2.39,2967,1.56,14997,8.41,49,1.07,288,6.64
8/8/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,195926,14801,5559,68945,6208,179,623,,24898,74713,68945,52268,74713,4675,1120,487,2293,704,11,16,,28,16,2293,2366,16,2.39,2503,1.29,15348,8.5,48,1.04,291,6.64
8/9/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,197676,14929,5591,69752,6258,180,626,,24996,75344,69752,52580,75344,4685,1121,487,2301,706,11,16,,28,15,2301,2369,15,2.37,1750,0.89,15788,8.68,10,0.21,278,6.31
8/10/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,199537,15061,5654,70470,6289,181,630,,25212,76040,70470,53027,76040,4704,1125,489,2313,706,11,16,,28,16,2313,2375,16,2.36,1861,0.94,16038,8.74,19,0.41,289,6.55
8/11/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,200802,15163,5701,71015,6352,182,636,,25251,76502,71015,53285,76502,4763,1138,490,2345,716,11,16,,30,17,2345,2401,17,2.37,1265,0.63,15566,8.4,59,1.25,292,6.53
8/12/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,202854,15317,5767,71945,6423,182,645,,25432,77143,71945,53766,77143,4814,1149,492,2380,725,11,18,,26,13,2380,2421,13,2.37,2052,1.02,15327,8.17,51,1.07,277,6.11
8/13/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,204710,15500,5867,72861,6501,184,652,,25919,77226,72861,54623,77226,4873,1159,495,2416,732,12,17,,26,16,2416,2441,16,2.38,1856,0.91,14254,7.48,59,1.23,295,6.44
8/14/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,207090,15684,5949,73807,6552,187,659,,26145,78107,73807,55176,78107,4915,1168,499,2442,737,12,18,,28,11,2442,2462,11,2.37,2380,1.16,13667,7.07,42,0.86,288,6.22
8/15/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,209021,15813,6016,74582,6611,187,663,,26196,78953,74582,55486,78953,4945,1170,499,2465,738,12,18,,30,13,2465,2467,13,2.37,1931,0.93,13095,6.68,30,0.61,270,5.78
8/16/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,210104,15898,6044,74908,6645,188,663,,26287,79471,74908,55725,79471,4953,1173,500,2470,738,12,18,,31,11,2470,2472,11,2.36,1083,0.52,12428,6.29,8,0.16,268,5.72
8/17/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,211264,16001,6098,75390,6687,188,666,,26361,79873,75390,56001,79873,4972,1178,501,2479,743,12,16,,31,12,2479,2481,12,2.35,1160,0.55,11727,5.88,19,0.38,268,5.7
8/18/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,212062,16071,6117,75717,6715,187,667,,26330,80258,75717,56087,80258,5034,1192,506,2506,756,11,16,,35,12,2506,2516,12,2.37,798,0.38,11260,5.61,62,1.25,271,5.69
8/19/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,213784,16213,6185,76615,6766,187,666,,26341,80811,76615,56358,80811,5086,1204,512,2535,762,10,16,,33,14,2535,2537,14,2.38,1722,0.81,10930,5.39,52,1.03,272,5.65
8/20/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,215214,16336,6229,77396,6805,188,667,,26373,81220,77396,56598,81220,5136,1214,519,2565,767,10,16,,32,13,2565,2558,13,2.39,1430,0.67,10504,5.13,50,0.98,263,5.4
8/21/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,216864,16492,6279,78244,6840,188,670,,26355,81796,78244,56824,81796,5180,1225,525,2590,769,10,17,,31,13,2590,2577,13,2.39,1650,0.77,9774,4.72,44,0.86,265,5.39
8/22/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,218378,16635,6343,79082,6894,188,675,,26429,82132,79082,57164,82132,5225,1235,527,2618,774,10,17,,28,16,2618,2591,16,2.39,1514,0.7,9357,4.48,45,0.87,280,5.66
8/23/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,219301,16720,6361,79378,6920,189,678,,26472,82583,79378,57340,82583,5233,1235,527,2625,775,10,17,,28,16,2625,2592,16,2.39,923,0.42,9197,4.38,8,0.15,280,5.65
8/24/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,220491,16819,6388,79723,6940,189,679,,26551,83202,79723,57566,83202,5246,1240,527,2633,776,10,17,,28,15,2633,2598,15,2.38,1190,0.54,9227,4.37,13,0.25,274,5.51
8/25/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,221331,16946,6434,80214,6972,191,679,,26543,83352,80214,57765,83352,5291,1251,529,2662,779,10,17,,29,14,2662,2615,14,2.39,840,0.38,9269,4.37,45,0.86,257,5.11
8/26/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,222835,17139,6482,81013,7012,191,682,,26547,83769,81013,58053,83769,5344,1266,534,2690,789,10,15,,26,14,2690,2640,14,2.4,1504,0.68,9051,4.23,53,1,258,5.07
8/27/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,224391,17269,6522,81796,7054,196,681,,26557,84316,81796,58279,84316,5381,1269,536,2715,796,10,15,,27,13,2715,2653,13,2.4,1556,0.7,9177,4.26,37,0.69,245,4.77
8/28/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,225769,17415,6563,82422,7096,198,683,,26609,84783,82422,58564,84783,5412,1275,541,2727,802,10,15,,27,15,2727,2670,15,2.4,1378,0.61,8905,4.11,31,0.58,232,4.48
8/29/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,226974,17528,6596,83050,7124,198,683,,26561,85234,83050,58690,85234,5436,1278,541,2745,805,11,15,,28,13,2745,2678,13,2.39,1205,0.53,8596,3.94,24,0.44,211,4.04
8/30/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,227895,17608,6625,83383,7143,198,683,,26615,85640,83383,58872,85640,5442,1277,541,2751,805,11,16,,28,13,2751,2678,13,2.39,921,0.41,8594,3.92,6,0.11,209,3.99
8/31/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,228908,17719,6660,83755,7168,198,683,,26707,86018,83755,59135,86018,5457,1283,543,2759,805,11,15,,27,14,2759,2684,14,2.38,1013,0.44,8417,3.82,15,0.28,211,4.02
9/1/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,229621,17839,6701,84122,7199,198,685,,26675,86202,84122,59297,86202,5502,1295,544,2781,812,11,15,,28,16,2781,2705,16,2.4,713,0.31,8290,3.75,45,0.82,211,3.99
9/2/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,230874,17972,6767,84865,7249,202,686,,26606,86527,84865,59482,86527,5550,1300,549,2809,823,11,15,,28,15,2809,2726,15,2.4,1253,0.55,8039,3.61,48,0.87,206,3.85
9/3/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,231869,18102,6823,85517,7289,204,695,,26540,86699,85517,59653,86699,5594,1318,550,2825,829,11,15,,28,18,2825,2751,18,2.41,995,0.43,7478,3.33,44,0.79,213,3.96
9/4/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,233181,18247,6906,86222,7332,207,693,,26483,87091,86222,59868,87091,5637,1329,552,2853,834,11,15,,28,15,2853,2769,15,2.42,1312,0.57,7412,3.28,43,0.77,225,4.16
9/5/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,234266,18379,6969,86886,7360,210,694,,26494,87274,86886,60106,87274,5656,1334,553,2867,835,10,15,,28,14,2867,2775,14,2.41,1085,0.47,7292,3.21,19,0.34,220,4.05
9/6/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,234973,18423,6985,87100,7373,211,697,,26506,87678,87100,60195,87678,5661,1335,553,2870,836,10,15,,28,14,2870,2777,14,2.41,707,0.3,7078,3.11,5,0.09,219,4.02
9/7/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,235455,18469,7005,87195,7381,211,697,,26570,87927,87195,60333,87927,5686,1338,555,2886,838,10,15,,30,14,2886,2786,14,2.41,482,0.21,6547,2.86,25,0.44,229,4.2
9/8/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,235874,18513,7027,87278,7392,211,698,,26636,88119,87278,60477,88119,5692,1335,556,2892,839,10,15,,30,15,2892,2785,15,2.41,419,0.18,6253,2.72,6,0.11,190,3.45
9/9/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,236459,18576,7067,87688,7420,212,698,,26574,88224,87688,60547,88224,5746,1343,564,2921,842,10,15,,33,18,2921,2807,18,2.43,585,0.25,5585,2.42,54,0.95,196,3.53
9/10/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,237532,18712,7109,88402,7457,212,702,,26522,88416,88402,60714,88416,5784,1348,569,2941,845,10,17,,35,19,2941,2824,19,2.44,1073,0.45,5663,2.44,38,0.66,190,3.4
9/11/2020,CA,Los Angeles County (without the cities of Long Beach or Pasadena),County,238523,18823,7152,89030,7502,215,705,,26450,88646,89030,60847,88646,5824,1363,570,2958,853,10,17,,35,18,2958,2848,18,2.44,991,0.42,5342,2.29,40,0.69,187,3.32
